normal,gen_z,Word/Phrase,Definition,Popularity/Trend Level
I'm just really tired today and feel like I need a coffee.,"I'm hella exhausted today, lowkey need a coffee stat.",,,
I'm just going to grab some coffee and then go shopping.,"Just gonna snag some coffee and hit up the mall, no cap.",,,
"Hey, I just finished my homework and I want to relax now.","Yo, just wrapped my homework, now I’m chillin’ and vibin’.",,,
I'm just really tired because I didn't get enough sleep last night.,I'm lowkey drained 'cause I didn’t catch enough Z's last night.,,,
I'm just excited to hang out with my friends today.,I'm so hyped to chill with my squad today.,,,
"I'm really tired today, I didn't get much sleep last night.","I'm super drained today, barely slept last night lol.",,,
"I'm really tired today, so I'm just going to stay home and relax.","I'm drained today, so I'm just vibing at home and chilling.",,,
I'm just heading to the grocery store to pick up some food.,I'm just vibing to the store to grab some snacks.,,,
"Hey, I'm really tired today and just want to relax.","Hey, I'm hella drained today and just wanna chill vibe.",,,
I can't believe how tired I am after a long day.,"Bruh, I'm so drained after this full-on day, no cap.",,,
I'm just going to stay home and relax tonight.,"I'm just vibing at home tonight, no cap.",,,
I'm really excited to hang out with my friends later.,"I'm mega hyped to chill with my squad later, fr fr!",,,
I'm just hanging out with friends at the mall today.,Just vibing with the squad at the mall today.,,,
"Hey, I'm going to grab some coffee. Want to join me?","Yo, I'm about to snag some coffee. You in?",,,
I'm just going to chill and watch some Netflix tonight.,I'm just gonna vibe and binge some Netflix tonight.,,,
I'm going to hang out with my friends at the park this afternoon.,I'm about to chill with the squad at the park later.,,,
"Hey, I'm just going to grab some coffee before heading to school.","Yo, I'm just finna hit up some coffee before I slide to school.",,,
"Hey, I really enjoy hanging out with my friends after school.","Yo, I’m vibing with my squad after class, fr.",,,
"Hey, I just finished my homework and I'm feeling relaxed now.","Yo, just knocked out my homework, now I’m vibing chill.",,,
"Hey, I just got back from the store and I found some really cool sneakers.","Yo, just hit the store and scored some sick kicks!",,,
I'm really tired after all that studying today.,"I'm totally drained after cramming all day, no cap.",,,
I'm just chilling at home and binge-watching my favorite show.,"I'm just vibing at home, bingeing my fave show, no cap.",,,
I'm just catching up on some shows today.,"I'm just vibing with some shows today, no cap.",,,
"Hey, do you want to grab coffee with me later?","Yo, wanna tap in for coffee later?",,,
I'm just going to grab some food and relax at home.,I'm just finna get some grub and kick back at home.,,,
I'm going to meet my friends at the coffee shop later.,I'm linking up with my crew at the coffee shop later.,,,
I just finished my homework and I was wondering if you want to hang out later.,"Just wrapped my homework, and I was lowkey tryna see if you're down to chill later.",,,
I'm really happy that I finally finished my homework.,"I'm stoked I finally knocked out my homework, fr fr!",,,
"Hey, did you finish your homework last night?","Yo, did you ace your homework yesterday or nah?",,,
I'm just really tired from a long day at work.,"Honestly, I’m sooo drained after a whole shift at work.",,,
That movie was really good tonight.,That flick was fire tonight!,,,
"I'm really tired today, so I think I'll just chill at home.","I'm hella drained today, so I'm just gonna vibe at my crib.",,,
"Hey, I'm going to grab some coffee before heading to class.","Yo, I'm about to snag some ☕ before hitting up class.",,,
Let's hang out after school tomorrow.,"Yo, let's vibe together after school tmrw!",,,
"I'm actually really tired today, so I think I'll just relax at home.","Yo, I'm super drained today, so I'm just gonna chill at home.",,,
"I'm really tired today, so I think I just want to stay home and relax.","I'm sooo drained today, just tryna chill at home and veg out.",,,
"I'm really tired today, so I think I'll just rest at home.","I'm dead tired today, so imma just chill at home.",,,
I'm just casually hanging out with my friends at the mall.,"I'm just vibing with my crew at the mall, no cap.",,,
I really enjoyed hanging out with my friends at the park today.,Had a lit time chillin' with my crew at the park today.,,,
I'm really excited about the new movie tonight.,I'm hella pumped for the new flick tonight.,,,
I'm just really tired today and didn't feel like going out.,I'm deadass exhausted today and had zero chill for going out.,,,
I'm really tired today after studying all night.,I'm mad tired today ’cause I pulled an all-nighter studying.,,,
"Hey, do you want to grab some coffee together later?","Yo, wanna vibe and get some coffee later?",,,
I can't believe how busy the city is today.,"Fr, the city is posted today, so hectic!",,,
I'm just really tired today and feeling a bit stressed out.,"I'm totally worn out today and vibing with some major stress, fr.",,,
"Hey, that movie was really good!","Yo, that flick was straight fire!",,,
I'm just trying to relax and watch some movies tonight.,I'm just chillin' and binge-watching some flicks tonight.,,,
I'm just feeling a bit tired today.,I'm kind of vibing with that sleepy energy today.,,,
I'm really excited about the weekend plans with my friends.,I'm super hyped for the weekend squad hangout!,,,
I'm just going for a walk to clear my mind.,"Yo, I’m just out here vibing on a walk to free my brain, no cap.",,,
"Hey, do you want to grab lunch after school?","Yo, wanna hit up lunch after classes?",,,
"Hey, are you coming to the party later?","Yo, ya peepin' the party tonight or what?",,,
I'm going to grab some food from the cafeteria.,I'm finna hit up the cafeteria for some chow.,,,
"Hey, I was just thinking about how cool the new game is.","Yo, that new game is straight fire, no cap.",,,
I'm feeling really tired today because I stayed up late watching a Netflix series.,I'm hella drained today 'cause I binge-watched a Netflix series all night.,,,
I'm just going to grab a snack before I start my homework.,I'm just vibing with a snack before diving into my homework mix.,,,
I'm really excited to go to the new cafe downtown tomorrow.,I'm mega hyped to hit up that new cafe downtown tomorrow!,,,
"Hey, are you free to hang out tomorrow afternoon?","Yo, you got time to chill tomorrow arvo?",,,
"Wow, that concert was really fun yesterday!","Yo, that show was straight fire yesterday!",,,
I'm really tired after all that studying.,"I'm completely wiped after all that cram, fr.",,,
I'm going to the mall to hang out with my friends this afternoon.,I'm hitin' up the mall to chill with my crew later.,,,
I'm just browsing my phone while waiting for my friend.,I'm just vibing on my phone while waiting for my homie.,,,
I'm just going to chill at home and watch some Netflix tonight.,"I'm just finna kick back at home and binge some Netflix tonight, no cap.",,,
I'm just really excited about the concert tonight.,I'm mad hyped for the concert tonight!,,,
"Hey, I just finished my homework and I'm ready to relax now.","Yo, just crushed my homework, now I'm chillin' like a villain.",,,
"I'm really tired after working all day, so I think I'll just relax at home.","I'm totally drained after grinding all day, so I'm just gonna chill at home.",,,
"Hey, I just got back from shopping and found some really cool clothes.","Yo, just hit the mall and scored some dope fits!",,,
I'm going to grab some food before I go out with my friends.,I'm about to snag some eats before I dip with the crew.,,,
"Hey, I’m going to grab some coffee. Do you want anything?","Yo, I’m about to snag some java. You tryna peep a sip?",,,
I'm just grabbing a coffee before heading to work.,Just vibing with a coffee before I bounce to work. 🚶‍♀️☕,,,
"Hey, do you want to go grab some food later?","Yo, wanna yeet for some chow later? 🔥",,,
I'm really tired after this long day.,"I'm totally wiped after this mega long day, lol.",,,
I'm going to grab a quick snack before heading out.,Gonna snag a quick munch before I dip out.,,,
"Hey, I'm going to grab some coffee before class.","Yo, I'm about to snag some brew before class kicks off.",,,
I'm just really tired today and I can't focus.,"I'm mad exhausted today and I can't even focus, lol.",,,
"Yeah, I think I'm going to stay in tonight and relax.","Fr, I’m just chillin’ at home tonight, no cap.",,,
I'm really excited about the new movie that just came out.,I'm so hyped for the new flick just dropped!,,,
I'm so tired because I didn't get enough sleep last night.,I'm vibing so busted 'cause I barely slept last night.,,,
"Hey, I'm feeling a bit tired today.","Yo, I'm kinda vibing low today.",,,
I'm just really tired because I stayed up late last night.,I'm mad exhausted 'cause I didn’t hit the hay till super late last night.,,,
I'm really tired right now and just want to relax at home.,I'm totally drained rn and just wanna chill at my place.,,,
"Hey, I really like your outfit today!","Yo, your drip’s looking fire today!",,,
I can't believe how nice the weather is today.,"No cap, the weather's mad chill today!",,,
